"Статус","Количество"
"Active","1"
"Total","1"
"Active","2"
"Total","2"
"Active","3"
"Total","3"
"Active","4"
"Total","4"
"Active","5"
"Total","5"
"Active","6"
"Total","6"
"Active","7"
"Total","7"
"Active","8"
"Total","8"
"Active","9"
"Total","9"
"Active","10"
"Total","10"
"Active","11"
"Total","11"
"Active","12"
"Total","12"
"Active","13"
"Total","13"
"Active","14"
"Total","14"
"Active","15"
"Total","15"
"Active","16"
"Total","16"
"Active","17"
"Total","17"
"Active","18"
"Total","18"
"Active","18"
"Accepted","1"
"Total","19"
"Active","19"
"Accepted","1"
"Total","20"
"Active","20"
"Accepted","1"
"Total","21"
"Active","20"
"Accepted","1"
"Final","1"
"Total","22"
"Active","20"
"Accepted","1"
"Final","2"
"Total","23"
"Active","20"
"Accepted","1"
"Final","3"
"Total","24"
"Active","21"
"Accepted","1"
"Final","3"
"Total","25"
"Active","21"
"Accepted","1"
"Final","4"
"Total","26"
"Active","22"
"Accepted","1"
"Final","4"
"Total","27"
"Active","23"
"Accepted","1"
"Final","4"
"Total","28"
"Active","23"
"Accepted","1"
"Final","5"
"Total","29"
"Active","24"
"Accepted","1"
"Final","5"
"Total","30"
"Active","24"
"Accepted","1"
"Final","6"
"Total","31"
"Active","24"
"Accepted","1"
"Final","7"
"Total","32"
"Active","25"
"Accepted","1"
"Final","7"
"Total","33"
"Active","25"
"Accepted","1"
"Final","8"
"Total","34"
"Active","25"
"Accepted","1"
"Final","9"
"Total","35"
"Active","25"
"Accepted","1"
"Final","10"
"Total","36"
"Active","25"
"Accepted","1"
"Final","11"
"Total","37"
"Active","26"
"Accepted","1"
"Final","11"
"Total","38"
"Active","26"
"Accepted","1"
"Final","12"
"Total","39"
"Active","26"
"Accepted","1"
"Final","13"
"Total","40"
"Active","26"
"Accepted","1"
"Final","14"
"Total","41"
"Active","27"
"Accepted","1"
"Final","14"
"Total","42"
"Active","27"
"Accepted","1"
"Final","15"
"Total","43"
"Active","27"
"Accepted","1"
"Final","16"
"Total","44"
"Active","27"
"Accepted","1"
"Final","17"
"Total","45"
"Active","27"
"Accepted","1"
"Final","18"
"Total","46"
"Active","28"
"Accepted","1"
"Final","18"
"Total","47"
"Active","29"
"Accepted","1"
"Final","18"
"Total","48"
"Active","30"
"Accepted","1"
"Final","18"
"Total","49"
"Active","31"
"Accepted","1"
"Final","18"
"Total","50"
"Active","31"
"Accepted","1"
"Final","19"
"Total","51"
"Active","32"
"Accepted","1"
"Final","19"
"Total","52"
"Active","32"
"Accepted","1"
"Final","20"
"Total","53"
"Active","33"
"Accepted","1"
"Final","20"
"Total","54"
"Active","34"
"Accepted","1"
"Final","20"
"Total","55"
"Active","34"
"Accepted","1"
"Final","21"
"Total","56"
"Active","34"
"Accepted","1"
"Final","22"
"Total","57"
"Active","34"
"Accepted","1"
"Final","23"
"Total","58"
"Active","34"
"Accepted","2"
"Final","23"
"Total","59"
"Active","34"
"Accepted","2"
"Final","24"
"Total","60"
"Active","34"
"Accepted","2"
"Final","25"
"Total","61"
"Active","34"
"Accepted","2"
"Final","26"
"Total","62"
"Active","34"
"Accepted","2"
"Final","27"
"Total","63"
"Active","34"
"Accepted","2"
"Final","28"
"Total","64"
"Active","34"
"Accepted","2"
"Final","29"
"Total","65"
"Active","34"
"Accepted","2"
"Final","30"
"Total","66"
"Active","34"
"Accepted","2"
"Final","31"
"Total","67"
"Active","34"
"Accepted","2"
"Final","31"
"Provisional","1"
"Total","68"
"Active","34"
"Accepted","3"
"Final","31"
"Provisional","1"
"Total","69"
"Active","34"
"Accepted","4"
"Final","31"
"Provisional","1"
"Total","70"
"Active","34"
"Accepted","5"
"Final","31"
"Provisional","1"
"Total","71"
"Active","34"
"Accepted","6"
"Final","31"
"Provisional","1"
"Total","72"
"Active","34"
"Accepted","7"
"Final","31"
"Provisional","1"
"Total","73"
"Active","34"
"Accepted","8"
"Final","31"
"Provisional","1"
"Total","74"
"Active","34"
"Accepted","9"
"Final","31"
"Provisional","1"
"Total","75"
"Active","34"
"Accepted","10"
"Final","31"
"Provisional","1"
"Total","76"
"Active","34"
"Accepted","11"
"Final","31"
"Provisional","1"
"Total","77"
"Active","34"
"Accepted","12"
"Final","31"
"Provisional","1"
